category_return_rate,user_category_return_rate,in_user_high_return_price_band,has_size_ambiguity,page_dwell_seconds,is_buy_now,product_review_rating,seller_return_rate,is_sale_active,returned
0.24395464376443093,0.41394587404634897,1,0,60.1,0,4.53,0.2648,0,0
0.28406091873844963,0.2729841232846493,0,1,185.8,0,3.83,0.3635,0,1
0.3902720399385139,0.4104206611147367,1,1,73.2,0,4.62,0.2499,1,1
0.29864681446248165,0.3313840678992622,0,0,343.5,0,3.94,0.439,1,0
0.41835336214606494,0.2768493435234833,1,1,61.5,0,1.88,0.3588,0,1
0.49963164721546416,0.2775235463205844,1,1,41.9,0,4.44,0.138,0,1
0.3039632841398589,0.49390071191498475,1,0,63.7,0,4.04,0.1313,0,0
0.15089426689933477,0.0,0,0,25.4,0,3.9,0.0478,0,0
0.3293798647231175,0.4877457489032352,1,0,19.9,0,2.74,0.0928,0,0
0.5237398684560446,0.5709519420957592,1,0,152.6,0,4.68,0.1031,1,0
0.16127411465867017,0.17336130050764462,0,0,117.4,1,4.08,0.2289,1,0
0.3274650438666328,0.2752171038222428,0,0,32.1,0,3.77,0.2361,0,0
0.48761242462451476,0.7130734329579672,1,1,130.8,1,3.53,0.1252,0,1
0.21620560433097472,0.14150614487597402,1,1,135.1,0,4.13,0.2088,0,1
0.2917858256222017,0.2198800014477691,0,1,55.5,1,4.19,0.2988,0,1
0.22819733188848898,0.29008175956849824,0,1,42.0,0,3.73,0.2839,1,1
0.15634583241166214,0.08364300654619387,0,1,169.6,1,4.52,0.1631,0,0
0.14563365400354739,0.039082209527840056,0,0,128.8,1,4.29,0.5,0,0
0.32812525315865454,0.3169925614387738,1,0,362.1,0,4.05,0.3859,0,0
0.313299117387217,0.37674767100874285,0,0,127.6,0,3.97,0.1581,0,0
0.32894420762061183,0.5115922987878332,0,1,21.8,1,4.6,0.1976,0,1
0.16357224331793252,0.3666164875340131,0,0,26.4,0,2.16,0.2707,0,0
0.41305495459492536,0.22868803896558831,0,1,75.6,0,4.48,0.4209,0,0
0.11293331963858236,0.2119096546066832,1,1,171.9,0,4.04,0.3735,0,1
0.3648103431760136,0.2611397684638942,0,0,116.4,0,2.43,0.3144,0,0
0.29892066136433687,0.2002362677580692,0,0,55.0,0,4.99,0.2105,0,0
0.09624516671128004,0.03704269627488509,0,1,23.4,1,3.87,0.4197,0,0
0.395987313395504,0.3304167557938397,0,0,291.5,0,4.12,0.1014,0,0
0.25349054600379056,0.14127914224873878,0,0,280.6,0,4.3,0.3572,0,0
0.55,0.3122297998004938,0,0,29.2,0,3.4,0.3509,0,0
0.22661914083185933,0.3660988306250266,0,0,153.2,1,4.42,0.3503,1,0
0.55,0.634685992934473,0,0,110.4,0,4.4,0.2702,0,0
0.1640564553357773,0.15727542246969,0,1,155.6,1,2.38,0.2378,0,1
0.0688624480669468,0.0,1,0,303.2,0,4.39,0.1285,1,0
0.5079425083905975,0.6263393091253987,1,0,281.5,1,1.84,0.0991,1,1
0.05,0.03853422613012095,0,1,135.0,1,3.77,0.2551,0,0
0.11893728837457813,0.056310493382296156,0,0,74.1,1,4.27,0.1191,0,0
0.43580332116414594,0.266276462098376,0,0,70.8,0,4.6,0.1341,0,0
0.24392524862993042,0.2926442980092211,0,0,75.6,0,4.4,0.0998,1,0
0.2768931445268666,0.23835351453205722,1,1,799.5,1,3.59,0.1028,0,1
0.47983574586553684,0.5008538412177583,0,1,93.3,1,4.8,0.3889,0,1
